Taxon name,Author
Cuphea procumbens,Ortega       
Cupressus arizonica,Greene       
Cupressus funebris,Endl.       
Cupressus goveniana,Gordon       
Cupressus lusitanica,Mill.       
Cupressus sempervirens,L.       
Curcuma zanthorrhiza,Roxb.       
Cuscuta campestris,Yunck.       
Cuscuta chinensis,Lam.       
Cuscuta pentagona,Engelm.       
Cuscuta planiflora,Ten.       
Cyamopsis tetragonoloba,(L.) Taub.      
Cyanus segetum,Hill       
Cycas revoluta,Thunb.       
Cyclanthera pedata,(L.) Schrad.      
Cyclanthus bipartitus,Poit. ex A.Rich.     
Cyclospermum leptophyllum,(Pers.) Sprague      
Cylindropuntia ramosissima,(Engelm.) F.M.Knuth      
Cymbalaria muralis,"P.Gaertn., B.Mey. & Scherb.    "
Cymbopogon citratus,(DC.) Stapf      
Cymbopogon schoenanthus,(L.) Spreng.      
Cymbopogon winterianus,Jowitt ex Bor     
Cynara cardunculus,L.       
Cynara scolymus,L.       
Cynodon dactylon,(L.) Pers.      
Cynodon plectostachyus,(K.Schum.) Pilg.      
Cynoglossum amabile,Stapf & J.R.Drumm.     
Cynometra cauliflora,L.       
Cyperus alopecuroides,Rottb.       
Cyperus alternifolius,L.       
Cyperus arenarius,Retz.       
Cyperus cruentus,Rottb.       
Cyperus difformis,L.       
Cyperus dubius,Rottb.       
Cyperus esculentus,L.       
Cyperus fuscus,L.       
Cyperus glomeratus,L.       
Cyperus involucratus,Rottb.       
Cyperus iria,L.       
Cyperus longus,L.       
Cyperus michelianus,(L.) Delile      
Cyperus papyrus,L.       
Cyperus prolifer,Lam.       
Cyperus rotundus,L.       
Cyperus sphacelatus,Rottb.       
Cyperus surinamensis,Rottb.       
Cyrtostachys renda,Blume       
Cytisus hirsutus,L.       
Cytisus multiflorus,(L'Her.) Sweet      
Cytisus proliferus,L.f.       
Cytisus scoparius,(L.) Link      
Daboecia cantabrica,(Huds.) K.Koch      
Dactyliandra welwitschii,Hook.f.       
Dactylis glomerata,L.       
Dactyloctenium aegyptium,(L.) Willd.      
Dactyloctenium australe,Steud.       
Dactyloctenium scindicum,Boiss.       
Dahlia coccinea,Cav.       
Dahlia imperialis,Roezl ex Ortgies     
Dahlia pinnata,Cav.       
Dalbergia cultrata,Benth.       
Dalbergia melanoxylon,Guill. & Perr.     
Dalechampia tamifolia,Lam.       
Daphnopsis anomala,(Kunth) Domke      
Datura ferox,L.       
Datura innoxia,Mill.       
Datura metel,L.       
Datura quercifolia,Kunth       
Datura stramonium,L.       
Daucus carota,L.       
Deeringia amaranthoides,(Lam.) Merr.      
Delairea odorata,Lem.       
Delonix elata,(L.) Gamble      
Delonix regia,(Hook.) Raf.      
Delphinium elatum,L.       
Dendrocalamus giganteus,Munro       
Dendrocalamus longispathus,(Kurz) Kurz      
Dendrocalamus membranaceus,Munro       
Dendrocalamus strictus,(Roxb.) Nees      
Dentella repens,(L.) J.R.Forst. & G.Forst.    
Desmanthus virgatus,(L.) Willd.      
Desmodium microphyllum,(Thunb.) DC.      
Desmodium neomexicanum,A.Gray       
Desmodium scorpiurus,(Sw.) Desv.      
Desmodium tortuosum,(Sw.) DC.      
Desmodium triflorum,(L.) DC.      
Desmodium uncinatum,(Jacq.) DC.      
Desmos chinensis,Lour.       
Deutzia gracilis,Siebold & Zucc.     
Deutzia scabra,Thunb.       
Dianella tasmanica,Hook.f.       
Dianthus barbatus,L.       
Dianthus caryophyllus,L.       
Dianthus chinensis,L.       
Dicliptera heterostegia,C.Presl       
Dicliptera paniculata,(Forssk.) I.Darbysh.      
Dicoma incana,(Baker) O.Hoffm.      
Dicoma tomentosa,Cass.       
Dictyosperma album,(Bory) Scheff.      
Dieffenbachia seguine,(Jacq.) Schott      
Dierama pulcherrimum,(Hook.f.) Baker      
Dietes iridioides,(L.) Sweet ex Klatt    
Digera muricata,(L.) Mart.      
Digitalis grandiflora,Mill.       
Digitalis purpurea,L.       
Digitaria ciliaris,(Retz.) Koeler      
Digitaria eriantha,Steud.       
Digitaria longiflora,(Retz.) Pers.      
Digitaria sanguinalis,(L.) Scop.      
Dignathia hirtella,Stapf       
Dillenia bracteata,Wight       
Dillenia pentagyna,Roxb.       
Dillenia suffruticosa,(Griff.) Martelli      
Dimeria ornithopoda,Trin.       
Dimorphotheca pluvialis,(L.) Moench      
Dimorphotheca sinuata,DC.       
Dinebra retroflexa,(Vahl) Panz.      
Dioclea virgata,(Rich.) Amshoff      
Diodella teres,(Walter) Small      
Diospyros discolor,Willd.       
Diospyros kaki,L.f.       
Diplotaxis muralis,(L.) DC.      
Dipterocarpus tuberculatus,Roxb.       
Disocactus flagelliformis,(L.) Barthlott      
Dolichandra unguis-cati,(L.) L.G.Lohmann      
Dolichandrone spathacea,(L.f.) Seem.      
Dombeya acutangula,Cav.       
Dombeya burgessiae,Gerrard ex Harv.     
Dombeya mollis,Hook.       
Dombeya platanifolia,Bojer       
Dombeya spectabilis,Bojer       
Dombeya tiliacea,(Endl.) Planch.      
Dombeya wallichii,(Lindl.) K.Schum.      
Dorotheanthus apetalus,(L.f.) N.E.Br.      
Dorstenia bahiensis,Klotzsch ex Fisch. & C.A.Mey.   
Dorstenia contrajerva,L.       
Dracaena angolensis,(Welw. ex CarriËre) Byng & Christenh  
Dracaena draco,(L.) L.      
Dracaena fragrans,(L.) Ker Gawl.     
Dracaena reflexa,Lam.       
Dracaena surculosa,Lindl.       
Drymaria cordata,(L.) Willd. ex Schult.    
Drymaria villosa,Schltdl. & Cham.     
Duabanga grandiflora,(DC.) Walp.      
Duboisia myoporoides,R.Br.       
Duranta erecta,L.       
Durio zibethinus,L.       
Dypsis decaryi,(Jum.) Beentje & J.Dransf.    
Dypsis lutescens,(H.Wendl.) Beentje & J.Dransf.    
Dypsis madagascariensis,(Becc.) Beentje & J.Dransf.    
Dysphania ambrosioides,(L.) Mosyakin & Clemants    
Dysphania botrys,(L.) Mosyakin & Clemants    
Dysphania carinata,(R.Br.) Mosyakin & Clemants    
Dysphania pumilio,(R.Br.) Mosyakin & Clemants    
Dyssodia tenuiloba,(DC.) B.L.Rob.      
Echeveria elegans,Rose       
Echinochloa colona,(L.) Link      
Echinochloa crus-galli,(L.) P.Beauv.      
Echinochloa crus-pavonis,(Kunth) Schult.      
Echinopsis pachanoi,(Britton & Rose) Friedrich & G.D.Rowley  
Echites umbellatus,Jacq.       
Echium vulgare,L.       
Eclipta prostrata,(L.) L.      
Ehretia microphylla,Lam.       
Ehrharta erecta,Lam.       
Eichhornia crassipes,(Mart.) Solms      
Elaeagnus umbellata,Thunb.       
Elaeis guineensis,Jacq.       
Elatine triandra,Schkuhr       
Eleocharis acicularis,(L.) Roem. & Schult.    
Eleocharis atropurpurea,(Retz.) J.Presl & C.Presl    
Eleocharis parishii,Britton       
Elephantopus scaber,L.       
Eleusine coracana,(L.) Gaertn.      
Eleutheranthera ruderalis,(Sw.) Sch.Bip.      
Eleutherine bulbosa,(Mill.) Urb.      
Elodea canadensis,Michx.       
Emex australis,Steinh.       
Emex spinosa,(L.) Campd.      
Emilia sonchifolia,(L.) DC.      
Enneapogon persicus,Boiss.       
Ensete ventricosum,(Welw.) Cheesman      
Enterolobium contortisiliquum,(Vell.) Morong      
Enterolobium cyclocarpum,(Jacq.) Griseb.      
Epidendrum radicans,Pav. ex Lindl.     
Epiphyllum hookeri,Haw.       
Epiphyllum macropterum,(Lem.) Britton & Rose    
Epiphyllum oxypetalum,(DC.) Haw.      
Epipremnum aureum,(Linden & Andr») G.S.Bunting    
Epipremnum pinnatum,(L.) Engl.      
Episcia cupreata,(Hook.) Hanst.      
Episcia reptans,Mart.       
Eragrostis amabilis,(L.) Wight & Arn.    
Eragrostis atrovirens,(Desf.) Trin. ex Steud.    
Eragrostis cilianensis,(All.) Janch.      
Eragrostis curvula,(Schrad.) Nees      
Eragrostis papposa,(Desf. ex Roem. & Schult.) Steud.  
Eragrostis pilosa,(L.) P.Beauv.      
Eragrostis superba,Peyr.       
Eragrostis tef,(Zucc.) Trotter      
Eranthemum pulchellum,Andrews       
Ercilla spicata,(Vertero) Moq.      
Erechtites valerianifolia,(Link ex Wolf) Less. ex DC.  
Eremochloa ophiuroides,(Munro) Hack.      
Erica arborea,L.       
Erica caffra,L.       
Erica vagans,L.       
Erigeron annuus,(L.) Pers.      
Erigeron bonariensis,L.       
Erigeron canadensis,L.       
Erigeron floribundus,(Kunth) Sch.Bip.      
Erigeron karvinskianus,DC.       
Erigeron sublyratus,Roxb. ex DC.     
Erigeron sumatrensis,Retz.       
Eriobotrya japonica,(Thunb.) Lindl.      
Eriocapitella hupehensis,(….Lemoine) Christenh. & Byng    
Eriocaulon cinereum,R.Br.       
Eriochloa fatmensis,(Hochst. & Steud.) Clayton    
Erodium manescavi,Coss.       
Erodium moschatum,(L.) L'H?©r.      
Erophila verna,(L.) DC.      
Eruca vesicaria,(L.) Cav.      
Eryngium foetidum,L.       
Erysimum cheiri,(L.) Crantz      
Erythranthe lutea,(L.) G.L.Nesom      
Erythrina crista-galli,L.       
Erythrina herbacea,L.       
Erythrina sykesii,Barneby & Krukoff     
Erythroxylum coca,Lam.       
Escallonia bifida,Link & Otto     
Escallonia rubra,(Ruiz & Pav.) Pers.    
Eschscholzia californica,Cham.       
Etlingera elatior,(Jack) R.M.Sm.      
Eucalyptus alba,Reinw. ex Blume     
Eucalyptus ambigua,A.Cunn. ex DC.     
Eucalyptus amygdalina,Labill.       
Eucalyptus baxteri,(Benth.) J.M.Black      
Eucalyptus bigalerita,F.Muell.       
Eucalyptus blakelyi,Maiden       
Eucalyptus bosistoana,F.Muell.       
Eucalyptus botryoides,Sm.       
Eucalyptus bridgesiana,F.Muell. ex R.T.Baker     
Eucalyptus brownii,Maiden & Cambage     
Eucalyptus camaldulensis,Dehnh.       
Eucalyptus cephalocarpa,Blakely       
Eucalyptus cladocalyx,F.Muell.       
Eucalyptus crebra,F.Muell.       
Eucalyptus cypellocarpa,L.A.S.Johnson       
Eucalyptus deglupta,Blume       
Eucalyptus diversicolor,F.Muell.       
Eucalyptus drepanophylla,F.Muell. ex Benth.     
Eucalyptus elata,Dehnh.       
Eucalyptus eugenioides,Sieber ex Spreng.     
Eucalyptus globulus,Labill.       
Eucalyptus grandis,W.Hill ex Maiden     
Eucalyptus leucoxylon,F.Muell.       
Eucalyptus longifolia,Link       
Eucalyptus macarthurii,H.Deane & Maiden     
Eucalyptus megacornuta,C.A.Gardner       
Eucalyptus melliodora,A.Cunn. ex Schauer     
Eucalyptus microcorys,F.Muell.       
Eucalyptus microtheca,F.Muell.       
Eucalyptus moluccana,Wall. ex Roxb.     
Eucalyptus nova-anglica,H.Deane & Maiden     
Eucalyptus ovata,Labill.       
Eucalyptus paniculata,Sm.       
Eucalyptus pauciflora,Sieber ex Spreng.     
Eucalyptus pilularis,Sm.       
Eucalyptus piperita,Sm.       
Eucalyptus polyanthemos,Schauer       
Eucalyptus propinqua,H.Deane & Maiden     
Eucalyptus punctata,A.Cunn. ex DC.     
Eucalyptus racemosa,Cav.       
Eucalyptus regnans,F.Muell.       
Eucalyptus resinifera,Sm.       
Eucalyptus robusta,Sm.       
Eucalyptus rudis,Endl.       
Eucalyptus rummeryi,Maiden       
Eucalyptus saligna,Sm.       
Eucalyptus siderophloia,Benth.       
Eucalyptus sideroxylon,A.Cunn. ex Woolls     
Eucalyptus sieberi,L.A.S.Johnson       
Eucalyptus staigeriana,F.Muell. ex F.M.Bailey     
Eucalyptus tereticornis,Sm.       
Eucalyptus viminalis,Labill.       
Eucalyptus whitei,Maiden & Blakely     
Eucomis autumnalis,(Mill.) Chitt.      
Eucomis comosa,(Houtt.) Wehrh.      
Eugenia uniflora,L.       
Euonymus japonicus,Thunb.       
Eupatorium cannabinum,L.       
Eupatorium capillifolium,(Lam.) Small ex Porter & Britton  
Euphorbia chamaesyce,L.       
Euphorbia cotinifolia,L.       
Euphorbia cyathophora,Murray       
Euphorbia graminea,Jacq.       
Euphorbia grandicornis,Goebel ex N.E.Br.     
Euphorbia helioscopia,L.       
Euphorbia heterophylla,L.       
Euphorbia hirta,L.       
Euphorbia hispida,Boiss.       
Euphorbia hypericifolia,L.       
Euphorbia hyssopifolia,L.       
Euphorbia indica,Lam.       
Euphorbia lacei,Craib       
Euphorbia leucocephala,Lotsy       
Euphorbia marginata,Pursh       
Euphorbia mauritanica,L.       
Euphorbia milii,Des Moul.      
Euphorbia peplus,L.       
Euphorbia prostrata,Aiton       
Euphorbia pulcherrima,Willd. ex Klotzsch     
Euphorbia serpens,Kunth       
Euphorbia thymifolia,L.       
Euphorbia tirucalli,L.       
Euphorbia tithymaloides,L.       
Euphorbia umbellata,(Pax) Bruyns      
Euryops pectinatus,(L.) Cass.      
Euterpe edulis,Mart.       
Evolvulus glomeratus,Nees & C. Mart.    
Evolvulus nummularius,(L.) L.      
Excoecaria cochinchinensis,Lour.       
Fagonia bruguieri,DC.       
Fagopyrum esculentum,Moench       
Fagus sylvatica,L.       
Falcataria moluccana,(Miq.) Barneby & J.W.Grimes    
Farfugium japonicum,(L.) Kitam.      
Farsetia heliophila,Bunge ex Coss.     
Felicia amelloides,(L.) Voss      
Felicia bergeriana,(Spreng.) O.Hoffm.      
Felicia heterophylla,(Cass.) Grau      
Fernandoa adenophylla,(Wall. ex G.Don) Steenis    
Festuca ovina,L.       
Ficus carica,L.       
Ficus lyrata,Warb.       
Ficus macrophylla,Desf. ex Pers.     
Ficus palmata,Forssk.       
Ficus pumila,L.       
Ficus racemosa,L.       
Filicium decipiens,(Wight & Arn.) Thwaites    
Fimbristylis cymosa,R.Br.       
Fimbristylis littoralis,Gaudich.       
Flacourtia indica,(Burm.f.) Merr.      
Flaveria australasica,Hook.       
Flaveria bidentis,(L.) Kuntze      
Flaveria trinervia,(Spreng.) C.Mohr      
Flindersia australis,R.Br.       
Foeniculum vulgare,Mill.       
Fragaria vesca,L.       
Fraxinus uhdei,(Wenz.) Lingelsh.      
Freesia refracta,(Jacq.) Klatt      
Fuchsia boliviana,CarriÀre       
Fuchsia fulgens,Moc. & Sess?© ex DC.   
Fuchsia hybrida,Voss       
Fuchsia magellanica,Lam.       
Fuchsia paniculata,Lindl.       
Fuchsia regia,(Vand. ex Vell.) Munz    
Fumaria indica,(Hausskn.) Pugsley      
Fumaria officinalis,L.       
Funtumia africana,(Benth.) Stapf      
Furcraea foetida,(L.) Haw.      
Furcraea selloa,K.Koch       
Gaillardia aristata,Pursh       
Gaillardia picta,Sweet       
Gaillardia pulchella,Foug.       
Galinsoga parviflora,Cav.       
Galinsoga quadriradiata,Ruiz & Pav.     
Galium palustre,L.       
Galphimia glauca,Cav.       
Galphimia gracilis,Bartl.       
Garcinia livingstonei,T.Anderson       
Garcinia madruno,(Kunth) Hammel      
Garcinia mangostana,L.       
Gardenia jasminoides,J.Ellis       
Gardenia thunbergia,Thunb.       
Gardenia volkensii,K.Schum.       
Gazania linearis,(Thunb.) Druce      
Gazania rigens,(L.) Gaertn.      
Geijera parviflora,Lindl.       
Genista canariensis,L.       
Genista monspessulana,(L.) L.A.S.Johnson      
Gentiana quadrifaria,Blume       
Gerbera jamesonii,Bolus ex Hook.f.     
Gigantochloa albociliata,(Munro) Kurz      
Gigantochloa atter,(Hassk.) Kurz      
Gigantochloa verticillata,(Willd.) Munro      
Ginkgo biloba,L.       
Gisekia pharnaceoides,L.       
Gladiolus dalenii,Van Geel      
Gladiolus undulatus,L.       
Glandularia aristigera,(S.Moore) Tronc.      
Glandularia bipinnatifida,(Schauer) Nutt.      
Glandularia laciniata,(L.) Schnack & Covas    
Glandularia peruviana,(L.) Small      
Glebionis coronaria,(L.) Cass. ex Spach    
Glebionis segetum,(L.) Fourr.      
Gleditsia macracantha,Desf.       
Gleditsia sinensis,Lam.       
Gleditsia triacanthos,L.       
Glinus oppositifolius,(L.) Aug.DC.      
Gliricidia sepium,(Jacq.) Walp.      
Gloriosa superba,L.       
Glossocardia bosvallia,(L.f.) DC.      
Gloxinia perennis,(L.) Druce      
Glycine max,(L.) Merr.      
Gmelina asiatica,L.       
Gmelina philippensis,Cham.       
Gnaphalium coarctatum,Willd.       
Gnaphalium pensylvanicum,Willd.       
Gnaphalium polycaulon,Pers.       
Gnaphalium purpureum,L.       
Gomphocarpus fruticosus,(L.) W.T.Aiton      
Gomphocarpus physocarpus,E.Mey.       
Gomphrena celosioides,Mart.       
Gomphrena globosa,L.       
Gomphrena serrata,L.       
Goniocaulon indicum,(Klein ex Willd.) Benth ex C.B.Clarke  
Gossypium barbadense,L.       
Gossypium herbaceum,L.       
Gossypium hirsutum,L.       
Gossypium stocksii,Mast.       
Grangea maderaspatana,(L.) Poir.      
Graptophyllum pictum,(L.) Griff.      
Grevillea banksii,R.Br.       
Grevillea bipinnatifida,R.Br.       
Grevillea hilliana,F.Muell.       
Grevillea robusta,A.Cunn. ex R.Br.     
Grevillea speciosa,(Knight) McGill.      
Guadua angustifolia,Kunth       
Guaiacum officinale,L.       
Guazuma ulmifolia,Lam.       
Guizotia abyssinica,(L.f.) Cass.      
Gustavia augusta,L.       
Gustavia gracillima,Miers       
Gustavia superba,(Kunth) O.Berg      
Gymnocladus dioica,(L.) K.Koch      
Gymnocoronis spilanthoides,(D.Don ex Hook. & Arn.) DC.  
Gynatrix pulchella,(Willd.) Alef.      
Gynura aurantiaca,(Blume) Sch.Bip. ex DC.    
Gypsophila elegans,M.Bieb.       
Gypsophila muralis,L.       
Gypsophila paniculata,L.       
Gyrinops walla,Gaertn.       
Habranthus tubispathus,(L'H»r.) Traub      
Hackelochloa granularis,(L.) Kuntze      
Haemanthus coccineus,L.       
Haematoxylum campechianum,L.       
Hakea laurina,R.Br.       
Hakea salicifolia,(Vent.) B.L.Burtt      
Hakea sericea,Schrad. & J.C.Wendl.     
Halopyrum mucronatum,(L.) Stapf      
Hamelia patens,Jacq.       
Handroanthus chrysanthus,(Jacq.) S.O.Grose      
Handroanthus chrysotrichus,(Mart. ex DC.) Mattos    
Handroanthus impetiginosus,(Mart. ex DC.) Mattos    
Handroanthus serratifolius,(Vahl) S.O.Grose      
Hardenbergia comptoniana,(Andrews) Benth.      
Harrisia bonplandii,(Parm.) Britton & Rose    
Harrisia pomanensis,(F.A.C. Weber ex K. Schum.) Britton & Rose
Haworthia coarctata,Haw.       
Hedera helix,L.       
Hedychium coronarium,J.Koenig       
Helianthus annuus,L.       
Helianthus debilis,Nutt.       
Helianthus pauciflorus,Nutt.       
Helianthus tuberosus,L.       
Helichrysum bracteatum,(Venten.) Willd.      
Heliconia angusta,Vell.       
Heliconia bihai,(L.) L.      
Heliconia psittacorum,L.f.       
Heliconia rostrata,Ruiz & Pav.     
Heliotropium arborescens,L.       
Heliotropium curassavicum,L.       
Heliotropium indicum,L.       
Heliotropium subulatum,Hochst. ex DC.     
Heliotropium zeylanicum,(Burm.f.) Lam.      
Hemerocallis fulva,(L.) L.      
Hemerocallis lilioasphodelus,L.       
Hemigraphis alternata,(Burm.f.) T.Anderson      
Herissantia crispa,(L.) Brizicky      
Hesperis matronalis,L.       
Heterotis rotundifolia,(Sm.) Jacq.-F?©l.      
Hevea brasiliensis,(Willd. ex A.Juss.) M∏ll.Arg.    
Hibiscus arnottianus,A. Gray      
Hibiscus brackenridgei,A.Gray       
Hibiscus cannabinus,L.       
Hibiscus elatus,Sw.       
Hibiscus liliiflorus,Cav.       
Hibiscus micranthus,L.f.       
Hibiscus mutabilis,L.       
Hibiscus pandurIformis,Burm. f.      
Hibiscus rosa-sinensis,L.       
Hibiscus sabdariffa,L.       
Hibiscus schizopetalus,(Dyer) Hook.f.      
Hibiscus syriacus,L.       
Hibiscus trionum,L.       
Hibiscus vitifolius,L.       
Hieracium crocatum,Fr.       
Hippeastrum puniceum,(Lam.) Voss      
Hippeastrum reginae,(L.) Herb.      
Hippeastrum striatum,(Lam.) H.E.Moore      
Hippeastrum vittatum,(L'H»r.) Herb.      
Hippobroma longiflora,(L.) G.Don      
Hippuris vulgaris,L.       
Holarrhena floribunda,(G.Don) T.Durand & Schinz    
Holmskioldia sanguinea,Retz.       
Homalium bhamoense,Cubitt & W.W.Sm.     
Homalium ceylanicum,(Gardner) Benth.      
Homalocladium platycladum,(F.Muell.) L.H.Bailey      
Hordeum vulgare,L.       
Hovenia dulcis,Thunb.       
Howea forsteriana,(F.Muell.) Becc.      
Hoya carnosa,(L.f.) R.Br.      
Humulus lupulus,L.       
Hura crepitans,L.       
Hydrangea macrophylla,(Thunb.) Ser.      
Hydrocharis dubia,(Blume) Backer      
Hymenaea verrucosa,Gaertn.       
Hymenocallis littoralis,(Jacq.) Salisb.      
Hymenosporum flavum,(Hook.) F.Muell.      
Hyophorbe amaricaulis,Mart.       
Hyophorbe verschaffeltii,H.Wendl.       
Hyoscyamus niger,L.       
Hypericum androsaemum,L.       
Hypericum monogynum,L.       
Hypericum patulum,Thunb.       
Hyphaene thebaica,(L.) Mart.      
Hypochaeris glabra,L.       
Hypochaeris radicata,L.       
Hypoestes sanguinolenta,(Van Houtte) Hook. f.    
Hyptis capitata,Jacq.       
Hyptis pectinata,(L.) Poit.      
Hyptis suaveolens,(L.) Poit.      
Iberis amara,L.       
Iberis umbellata,L.       
Ilex aquifolium,L.       
Ilex cornuta,Lindl. & Paxton     
Ilex opaca,Aiton       
Impatiens balsamina,L.       
Impatiens repens,Moon ex Wight     
Impatiens walleriana,Hook.f.       
Imperata cylindrica,(L.) Raeusch.      
Indigofera arrecta,A.Rich.       
Indigofera linnaei,Ali       
Indigofera spicata,Forssk.       
Indigofera trita,L.f.       
Iochroma cyaneum,(Lindl.) G.H.M. Lawr. & J.M. Tucker  
Ipomoea alba,L.       
Ipomoea arborescens,(Humb. & Bonpl. ex Willd.) G. Don 
Ipomoea asarifolia,(Desr.) Roem. & Schult.    
Ipomoea batatas,(L.) Lam.      
Ipomoea cairica,(L.) Sweet      
Ipomoea carnea,Jacq.       
Ipomoea coptica,(L.) Roth ex Roem. & Schult.  
Ipomoea eriocarpa,R. Br.      
Ipomoea grandifolia,(Dammer) O'Donell      
Ipomoea hederifolia,L.       
Ipomoea horsfalliae,Hook.       
Ipomoea indica,(Burm.) Merr.      
Ipomoea lobata,(Cerv.) Thell.      
Ipomoea mauritiana,Jacq.       
Ipomoea muricata,(L.) Jacq.      
Ipomoea nil,(L.) Roth      
Ipomoea obscura,(L.) Ker Gawl.     
Ipomoea parasitica,(Kunth) G. Don     
Ipomoea pes-caprae,(L.) R. Br.     
Ipomoea pes-tigridis,L.       
Ipomoea purga,(Wender.) Hayne      
Ipomoea purpurea,(L.) Roth      
Ipomoea quamoclit,L.       
Ipomoea rubriflora,O'Donell       
Ipomoea tricolor,Cav.       
Ipomoea triloba,L.       
Ipomoea violacea,L.       
Ipomoea wolcottiana,Rose       
Iresine herbstii,Hook.       
Iris albicans,Lange       
Iris domestica,(L.) Goldblatt & Mabb.    
Iris germanica,L.       
Iris japonica,Thunb.       
Iris pallida,Lam.       
Iris pseudacorus,L.       
Iris reticulata,M.Bieb.       
Iris spuria,L.       
Iris tectorum,Maxim.       
Iris unguicularis,Poir.       
Iseilema laxum,Hack.       
Ixora casei,Hance       
Ixora chinensis,Lam.       
Ixora finlaysoniana,Wall. ex G.Don     
Ixora javanica,(Blume) DC.      
Ixora macrothyrsa,(Teijsm. & Binn.) T.Moore    
Jacaranda acutifolia,Bonpl.       
Jacaranda mimosifolia,D. Don      
Jacobaea maritima,(L.) Pelser & Meijden    
Jacobinia ghiesbreghtiana,(Lem.) Hemsl.      
Jacquemontia ovalifolia,(Choisy) Hallier f.     
Jacquinia aculeata,(L.) Mez      
Jacquinia arborea,Vahl       
Jacquinia armillaris,Jacq.       
Jasminum azoricum,L.       
Jasminum bignoniaceum,Wall. & G.Don     
Jasminum grandiflorum,L.       
Jasminum laurifolium,Roxb. ex Hornem.     
Jasminum mesnyi,Hance       
Jasminum odoratissimum,L.       
Jasminum polyanthum,Franch.       
Jatropha curcas,L.       
Jatropha glandulifera,Roxb.       
Jatropha gossypiifolia,L.       
Jatropha hernandiifolia,Vent.       
Jatropha integerrima,Jacq.       
Jatropha multifida,L.       
Jatropha podagrica,Hook.       
Joannesia princeps,Vell.       
Juglans regia,L.       
Juncus maritimus,Lam.       
Juniperus bermudiana,L.       
Juniperus chinensis,L.       
Juniperus communis,L.       
Juniperus deppeana,Steud.       
Juniperus oxycedrus,L.       
Juniperus phoenicea,L.       
Juniperus procera,Hochst. ex Endl.     
Juniperus scopulorum,Sarg.       
Justicia brandegeeana,Wassh. & L.B.Sm.     
Justicia carnea,Lindl.       
Justicia gendarussa,Burm.f.       
Justicia secunda,Vahl       
Kaempferia elegans,(Wall.) Baker      
Kalanchoe blossfeldiana,Poelln.       
Kalanchoe daigremontiana,Raym.-Hamet & H. Perrier    
Kalanchoe integra,(Medik.) Kuntze      
Kalanchoe laciniata,(L.) DC.      
Kalanchoe marmorata,Baker       
Kalanchoe velutina,Welw. ex Britten     
Kallstroemia pubescens,(G.Don) Dandy      
Kerria japonica,(L.) DC.      
Khaya grandifoliola,C.DC.       
Khaya senegalensis,(Desv.) A.Juss.      
Kigelia africana,(Lam.) Benth.      
Kleinhovia hospita,L.       
Kniphofia uvaria,(L.) Oken      
Koeleria macrantha,(Ledeb.) Schult.      
Koelreuteria elegans,(Seem.) A.C.Sm.      
Koelreuteria paniculata,Laxm.       
Kopsia fruticosa,(Roxb.) A.DC.      
Kyllinga polyphylla,Willd. ex Kunth     
Lablab purpureus,(L.) Sweet      
Laburnum anagyroides,Medik.       
Lafoensia vandelliana,Cham. & Schltdl.     
Lagascea mollis,Cav.       
Lagenaria siceraria,(Molina) Standl.      
Lagerstroemia duperreana,Pierre ex Gagnep.     
Lagerstroemia floribunda,Jack.       
Lagerstroemia indica,L.       
Lagerstroemia speciosa,(L.) Pers.      
Lagerstroemia thorelii,Gagnep.       
Lagerstroemia tomentosa,C. Presl      
Lagerstroemia turbinata,Koehne       
Laggera aurita,Benth. ex C.B.Clarke     
Lagurus ovatus,L.       
Lampranthus spectabilis,(Haw.) N.E. Br.     
Lantana camara,L.       
Lantana canescens,Kunth       
Lantana involucrata,L.       
Lantana montevidensis,(Spreng.) Briq.      
Lantana nivea,Vent.       
Lantana scabrida,Aiton       
Lantana splendens,Medik.       
Lantana trifolia,L.       
Lantana veronicifolia,Hayek       
Laportea aestuans,(L.) Chew      
Latania lontaroides,(Gaertn.) H.E.Moore      
Lathyrus aphaca,L.       
Lathyrus odoratus,L.       
Lathyrus sativus,L.       
Launaea intybacea,(Jacq.) Beauverd      
Laurus nobilis,L.       
Lavandula angustifolia,Mill.       
Lawsonia inermis,L.       
Leea guineense,G.Don       
Leersia hexandra,Sw.       
Lemna perpusilla,Torr.       
Lemna turionifera,Landolt       
Lens culinaris,Medik.       
Leonotis leonurus,(L.) R.Br.      
Leonotis nepetifolia,(L.) R.Br.      
Lepidaploa arborescens,(L.) H.Rob.      
Lepidium didymum,L.       
Lepidium ruderale,L.       
Lepidium sativum,L.       
Lepidium virginicum,L.       
Lepisanthes fruticosa,(Roxb.) Leenh.      
Leptospermum polygalifolium,Salisb.       
Leptospermum scoparium,J.R.Forst. & G.Forst.     
Leptospermum trinervium,(Sm.) Joy Thomps.     
Leptospron adenanthum,(G.Mey.) A.Delgado      
Leptothrium senegalense,(Kunth) Clayton      
Lespedeza bicolor,Turcz.       
Leucadendron argenteum,(L.) R. Br.     
Leucaena diversifolia,(Schltdl.) Benth.      
Leucaena leucocephala,(Lam.) de Wit     
Leucanthemum vulgare,(Vaill.) Lam.      
Leucas martinicensis,(Jacq.) R.Br.      
Leucojum aestivum,L.       
Leucophyllum frutescens,(Berland.) I.M. Johnst.     
Licania platypus,(Hemsl.) Fritsch      
Licuala grandis,H.Wendl.       
